title,artist,bpm,genre,energy,year,tempo_category
Blinding Lights,The Weeknd,171,Pop,0.8,2019,Fast
Someone Like You,Adele,67,Ballad,0.3,2011,Slow
Dynamite,BTS,114,Pop,0.7,2021,Mid-tempo
Stay With Me,Sam Smith,84,Ballad,0.4,2014,Mid-tempo
Levitating,Dua Lipa,103,Pop,0.8,2020,Mid-tempo
Golden Hour,JVKE,97,Pop,0.5,2022,Mid-tempo
Peaches,Justin Bieber,110,R&B,0.6,2021,Mid-tempo
Watermelon Sugar,Harry Styles,95,Pop,0.7,2019,Mid-tempo
Bad Guy,Billie Eilish,135,Pop,0.4,2019,Fast
Shape of You,Ed Sheeran,96,Pop,0.8,2017,Mid-tempo
